Titulo,Descriçao,Categoria
KMP 0101,"<h2 class=""product_title entry-title show-product-nav"">KMP 0101</h2>
\n<div class=""product-nav"">
\n<div class=""product-next"">É fabricando com materiais de alta qualidade, dentro normas da ABNT (<strong>NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 12 anos.</div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">5m x 5m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">8,5 x 8m = 68m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">4,23m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">241,28 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,20m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>",Playgrounds Completos
KMP 0102,"<h2 class=""product_title entry-title show-product-nav"">KMP 0102</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT (<strong>NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de  03 a 12 anos.
\n<div>
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">5m x 4,5m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">6 x 10m - 60m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">5,43m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">282,28 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,20m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>",Playgrounds Completos
KMP 0201,"<h2 class=""product_title entry-title show-product-nav"">KMP 0201</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">É fabricando com materiais de alta qualidade, dentro normas da ABNT (<strong>NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de  03 a 12 anos.</div>
\n<div>
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">6m x 6m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">9,5 x 8,5m = 81m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">8,08m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">428,52 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,40m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Semi Torre</th>
\n<td style=""text-align: left;"">1,20m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>",Playgrounds Completos
KMP 0202,"<div class=""description woocommerce-product-details__short-description""></div>
\n<h2 class=""product_title entry-title show-product-nav"">KMP 0202</h2>
\n<div class=""description woocommerce-product-details__short-description""></div>
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT (<strong>NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de  03 a 12 anos.
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">7m x 6m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">10 x 9m = 90m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">8,35m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">364,78 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,20m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>",Playgrounds Completos
KMP 0204,"<h2 class=""product_title entry-title show-product-nav"">KMP 0204</h2>
\n<div class=""product-nav""></div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT (<strong>NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de  03 a 12 anos.
\n<table border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">8m x 6m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">11 x 10m = 110m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">13,68m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">584,37 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,40m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Torre para Coqueiro plataforma</th>
\n<td style=""text-align: left;"">1,20m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>",Playgrounds Completos
KMP 0205,"<h2 class=""product_title entry-title show-product-nav"">KMP 0205</h2>
\n<div class=""product-nav""></div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT (<strong>NBR 16.071/12)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de  03 a 12 anos.
\n<table border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">10m x 6m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">13m x 8m - 104m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">7,52m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">418,48 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,20m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>",Playgrounds Completos
KMP 0208,"<h2 class=""product_title entry-title show-product-nav"">KMP 0208</h2>
\n<div class=""description woocommerce-product-details__short-description"">É fabricado com materiais de alta qualidade, dentro das normas da ABNT (<strong>NBR 16.071/21</strong>) de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício, pois, além de durável devido a ótimos materiais empregados, mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 6 anos.</div>
\n<div class=""product_meta""></div>
\n<div>
\n<table border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">10m x 6m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">13m x 8m - 104m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">7,52m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">418,48 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,20m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>",Playgrounds Completos
KMP 0209,"<h2 class=""product_title entry-title show-product-nav"">KMP 0209</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT <strong>(NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 12 anos.
\n<table border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">6m x 4m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">10m x 9m = 90m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">7,07 m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">436,95 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,40m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Torre para Coqueiro plataforma</th>
\n<td style=""text-align: left;"">1,20m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>",Playgrounds Completos
KMP 0301,"<h2 class=""product_title entry-title show-product-nav"">KMP 0301</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT <strong>(NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 12 anos.
\n<table border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">10m x 10m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">13m x 13m - 169m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">11,13m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">716,06 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,20m / 1,40m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>",Playgrounds Completos
KMP 0302,"<h2 class=""product_title entry-title show-product-nav"">KMP 0302</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT <strong>(NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 02 a 12 anos.
\n
\n</div>
\n<div class=""product_meta""></div>
\n<table border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">7m x 10m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">11 x 10m = 110m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">15,91m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">729,33 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura Plataformas Torres</th>
\n<td style=""text-align: left;"">1,40m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>",Playgrounds Completos
